ふりがな,名称,所在地又は代表地番,latitude,longitude,公園種別
くすのきじどうゆうえんち,くすのき児童遊園地,大野1丁目35,34.804088,135.399468,児童遊園地
こやのさと（Ⅱ）じどうゆうえんち,昆陽里（Ⅱ）児童遊園地,池尻1丁目32,34.774604,135.38308,児童遊園地
ささはらじどうゆうえんち,佐々原児童遊園地,南野5-174-1,34.766968,135.40151,児童遊園地
さんかくじどうゆうえんち,さんかく児童遊園地,昆陽泉町2丁目6-1,34.774788,135.399967,児童遊園地
くすのき（Ⅱ）じどうゆうえんち,くすのき（Ⅱ）児童遊園地,北本町1丁目302,34.783922,135.419359,児童遊園地
ろーずれーうめのき,ローズレー梅ノ木,梅ノ木2丁目31,34.77279,135.414892,児童遊園地
しもがわら（Ⅱ）じどうゆうえんち,下河原（Ⅱ）児童遊園地,下河原1丁目176-5,34.800441,135.428868,児童遊園地
すずはらじどうゆうえんち,鈴原児童遊園地,鈴原町4丁目18-5,34.775527,135.40675,児童遊園地
せんぞひろはたじどうゆうえんち,千僧広畑児童遊園地,広畑3丁目4、1-4、1-8,34.78719,135.401766,児童遊園地
せんぞ（Ⅱ）じどうゆうえんち,千僧（Ⅱ）児童遊園地,千僧4丁目212,34.785244,135.407706,児童遊園地
だいやはいつじどうゆうえんち,ダイヤハイツ児童遊園地,千僧5丁目65-2,34.782128,135.406085,児童遊園地
つかぐちはうすじどうゆうえんち,塚口ハウス児童遊園地,車塚2丁目70-2,34.763055,135.399016,児童遊園地
つかぐちぐりーんぽりすじどうゆうえんち,塚口グリーンポリス児童遊園地,野間北1丁目5-2,34.771141,135.395561,児童遊園地
てらもと（Ⅱ）じどうゆうえんち,寺本（Ⅱ）児童遊園地,寺本1丁目100、101,34.775173,135.388444,児童遊園地
とうだふじのきじどうゆうえんち,当田藤ノ木児童遊園地,藤ノ木3丁目109,34.786189,135.421989,児童遊園地
どうぶつこうえんじどうゆうえんち,動物公園児童遊園地,高台4丁目5,34.793529,135.410493,児童遊園地
なかのいけのひがしじどうゆうえんち,中野池ノ東児童遊園地,中野北2丁目102,34.793576,135.383642,児童遊園地
なかのゆでじどうゆうえんち,中野湯出児童遊園地,中野北1丁目77,34.795306,135.384269,児童遊園地
なかの（Ⅲ）じどうゆうえんち,中野（Ⅲ）児童遊園地,中野西1丁目237、239,34.788709,135.38863,児童遊園地
なかよしじどうゆうえんち,なかよし児童遊園地,稲野町7丁目41､46,34.765403,135.412568,児童遊園地
にしのだいじどうゆうえんち,西野台児童遊園地,西野2丁目22､26,34.789007,135.380708,児童遊園地
にしのちょうじどうゆうえんち,西ノ町児童遊園地,中央6丁目506-1の一部,34.778722,135.417775,児童遊園地
にしのにしじどうゆうえんち,西野西児童遊園地,西野6丁目122,34.792912,135.372092,児童遊園地
にしごがづかじどうゆうえんち,西御願塚児童遊園地,南鈴原4丁目42,34.768997,135.409494,児童遊園地
にっせいじゅうたくじどうゆうえんち,日生住宅児童遊園地,野間北2丁目145-3,34.769874,135.394665,児童遊園地
